GAIA_ID	field	flag_old	flag_new	T_depth [%]	radius_gspp	phot_g_mea	teff_gspphot	teff_gspphot	teff_gspphot	teff_gspphot	logg_gspphot	radius_gspp	radius_gspp	n_events	flags	n_transits	GS_01	GS_0_U	GS_23	dates	sc	gs															
423026756506669952	Sp0011+5908	transit	transit, long period, check TESS	1		12.42094231				0				2	extendedsource \\ moving	
1262763648230973440	Sp1501+2250	SPEC target tra	transit review later			16.50980377				0					27	14	6	13	20180305 \\ 	16.9 \\ 16.8 \	0 \\ 2 \\ 2 \\ 2 \\ 0 \\ 2 \\ 2 \\ 2 \\ 2 \\ 1 \\ 3 \\ 2 \\ 1 \\ 0 \\ 2 \\ 2 \\ 0 \\ 0 \\ 0 \\ 1 \\ 1 \\ 0 \\ 1 \\ 1 \\ 2 \\ 2 \\ 1	
1272178319624018816	Sp1524+2925	SPEC target tra	transit review later			15.28007889				0					10	7	1	3	20180224 \\ 	12.0 \\ 10.8 \	2 \\ 3 \\ 0 \\ 1 \\ 2 \\ 0 \\ 0 \\ 1 \\ 0 \\ 1	
1272190173733760128	Sp1524+2925	transit	transit, check TESS	3	0.444000006	17.23037148	3557.665527	3553.261963	3562.923096	4.830566406	4.789800167	0.451499999	0.460999995		1	1	1	0	20220506	38.8	0	
5985286073798439040	Sp1540-5101	transit	transit, check TESS	2	0.650300026	16.566576	5582.316895	5522.709473	5622.656738	49.97363281	4.601200104	0.67930001	0.698700011	1	needcheckHP	
5889224216794740736	Sp1540-5101	transit	transit, check TESS	4	0.42899999	17.62132263	4768.182129	4729.935547	4811.062012	40.56323242	4.84829998	0.449699998	0.477100015		5	5	4	0	20210410 \\ 	19.3 \\ 27.1 \	0 \\ 0 \\ 1 \\ 0 \\ 0	
1380293091823646720	Sp1606+4054	SPEC target tra	transit review later			14.82943153				0					36	33	0	3	20190627 \\ 	12.3 \\ 12.9 \	2 \\ 2 \\ 2 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
5809378021612555008	Sp1633-6808_1	transit	transit, likely EB, check TESS	6	0.442000002	18.37412071	4701.887207	4651.402832	4746.679688	47.63842773	4.830500126	0.457100004	0.472000003		1	1	1	0	20210701	33.8	0	
4327593349348911360	Sp1645-1319	transit	transit, likely EB, check TESS	5	0.497599989	17.59722328	4964.73877	4903.842285	5057.019531	76.58862305	4.768400192	0.51700002	0.568400025	3	needcheckHP \\ needcheckHP \\ needcheckHP	
6636966061468135040	Sp1854-5704	transit	transit, check TESS	5	0.430799991	18.40776443	4068.051514	4050.738037	4083.970215	16.61608887	4.653999805	0.521899998	0.821200013		1	1	1	0	20210808	18.4	0	
6759481141756109056	Sp1921-2915	SPEC target tra	transit review later			15.53093815				0					4	0	0	4	20190720 \\ 	12.6 \\ 13.5 \	2 \\ 3 \\ 2 \\ 2	
4250327781042868224	Sp2010+0634	SPEC target tra	transit review later			17.11620712				0					36	32	0	4	20210826 \\ 	15.7 \\ 11.7 \	1 \\ 2 \\ 3 \\ 3 \\ 3 \\ 1 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
1762524526668814208	Sp2044+1517	companion	transit, check TESS	2		13.5305748				0				1	needcheckHP	
1798588409277193984	Sp2126+2531	SPEC target tra	transit review later			17.00163078				0					47	45	0	2	20230927 \\ 	13.4 \\ 11.2 \	3 \\ 3 \\ 1 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
6406967509044866560	Sp2241-6119	SPEC target tra	transit review later			16.6094532				0					11	11	0	0	20190911 \\ 	0.0 \\ 0.0 \\ 0.	0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
2393563872239260928	Sp2327-1741	SPEC target tra	transit review later
